timestamp, temperature_gpu, power_draw_w, power_limit_w, memory_used_mib, memory_free_mib
1641487020075449498, 37, 107, 350, 297, 25149
1641487020077232825, 37, 107, 350, 297, 25149
1641487020078986774, 37, 107, 350, 297, 25149
1641487020080788971, 37, 107, 350, 297, 25149
1641487020082555828, 37, 107, 350, 297, 25149
1641487020084379076, 37, 107, 350, 297, 25149
1641487020086209768, 37, 107, 350, 297, 25149
1641487020088019619, 37, 107, 350, 297, 25149
1641487020089804389, 37, 107, 350, 297, 25149
1641487020091578133, 37, 107, 350, 297, 25149
1641487020093370497, 37, 107, 350, 297, 25149
1641487020095203229, 37, 107, 350, 297, 25149
1641487020097056547, 37, 107, 350, 297, 25149
1641487020098810324, 37, 107, 350, 297, 25149
1641487020100603164, 37, 107, 350, 297, 25149
1641487020102380088, 37, 107, 350, 297, 25149
1641487020104216839, 37, 107, 350, 297, 25149
1641487020106063527, 37, 107, 350, 297, 25149
1641487020107871732, 37, 107, 350, 297, 25149
1641487020109659253, 37, 107, 350, 297, 25149
1641487020111455339, 37, 107, 350, 297, 25149
1641487020113300228, 37, 107, 350, 297, 25149
1641487020115146804, 37, 107, 350, 297, 25149
1641487020116922147, 37, 107, 350, 297, 25149
1641487020118718931, 37, 107, 350, 297, 25149
1641487020120504454, 37, 107, 350, 297, 25149
1641487020122302676, 37, 107, 350, 297, 25149
1641487020124152760, 37, 107, 350, 297, 25149
1641487020126016679, 37, 107, 350, 297, 25149
1641487020127796633, 37, 107, 350, 297, 25149
1641487020129595807, 37, 107, 350, 297, 25149
1641487020131424128, 37, 107, 350, 297, 25149
1641487020133257727, 37, 107, 350, 297, 25149
1641487020135093345, 37, 107, 350, 297, 25149
1641487020136897336, 37, 107, 350, 297, 25149
1641487020138660573, 37, 107, 350, 297, 25149
1641487020140451676, 37, 107, 350, 297, 25149
1641487020142297378, 37, 107, 350, 297, 25149
1641487020144152330, 37, 107, 350, 297, 25149
1641487020146004752, 37, 107, 350, 297, 25149
1641487020147792835, 37, 107, 350, 297, 25149
1641487020149584259, 37, 107, 350, 297, 25149
1641487020151407427, 37, 107, 350, 297, 25149
1641487020153227592, 37, 107, 350, 297, 25149
1641487020155077361, 37, 107, 350, 297, 25149
1641487020156789669, 37, 107, 350, 297, 25149
