timestamp, temperature_gpu, power_draw_w, power_limit_w, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
1642433550057978203, 38, 114, 350,1695,9501,1695
1642433550060591443, 38, 114, 350,1695,9501,1695
1642433550062948464, 38, 114, 350,1695,9501,1695
1642433550066731000, 38, 114, 350,1695,9501,1695
1642433550070968899, 38, 114, 350,1695,9501,1695
1642433550074625024, 38, 114, 350,1695,9501,1695
1642433550076973934, 38, 114, 350,1695,9501,1695
1642433550079325127, 38, 114, 350,1695,9501,1695
1642433550081707590, 38, 114, 350,1695,9501,1695
1642433550084067677, 38, 114, 350,1695,9501,1695
1642433550087541293, 38, 114, 350,1695,9501,1695
1642433550091757670, 38, 114, 350,1695,9501,1695
1642433550095461116, 38, 114, 350,1695,9501,1695
1642433550097830403, 38, 114, 350,1695,9501,1695
1642433550100203573, 38, 114, 350,1695,9501,1695
1642433550102596832, 38, 114, 350,1695,9501,1695
1642433550105205954, 38, 114, 350,1695,9501,1695
1642433550109046105, 38, 114, 350,1695,9501,1695
1642433550113530450, 38, 114, 350,1695,9501,1695
1642433550117461871, 38, 114, 350,1695,9501,1695
1642433550119833691, 38, 114, 350,1695,9501,1695
1642433550122210890, 38, 114, 350,1695,9501,1695
1642433550124608340, 38, 114, 350,1695,9501,1695
1642433550126973590, 38, 114, 350,1695,9501,1695
1642433550130270802, 38, 114, 350,1695,9501,1695
1642433550134545014, 38, 114, 350,1695,9501,1695
1642433550138384316, 38, 114, 350,1695,9501,1695
1642433550140751672, 38, 114, 350,1695,9501,1695
1642433550143136092, 38, 114, 350,1695,9501,1695
1642433550145514697, 38, 114, 350,1695,9501,1695
1642433550147886569, 38, 114, 350,1695,9501,1695
1642433550150691083, 38, 114, 350,1695,9501,1695
1642433550154948753, 38, 114, 350,1695,9501,1695
1642433550159051616, 38, 114, 350,1695,9501,1695
1642433550161771933, 38, 114, 350,1695,9501,1695
1642433550164148769, 38, 114, 350,1695,9501,1695
1642433550166544541, 38, 114, 350,1695,9501,1695
1642433550169244901, 38, 114, 350,1695,9501,1695
1642433550171817714, 38, 114, 350,1695,9501,1695
1642433550175996573, 38, 114, 350,1695,9501,1695
1642433550180419554, 38, 114, 350,1695,9501,1695
1642433550182815528, 38, 114, 350,1695,9501,1695
1642433550185122534, 38, 114, 350,1695,9501,1695
1642433550187436062, 38, 114, 350,1695,9501,1695
1642433550189742926, 38, 114, 350,1695,9501,1695
1642433550192051624, 38, 114, 350,1695,9501,1695
1642433550196085421, 38, 114, 350,1695,9501,1695
1642433550200266159, 38, 114, 350,1695,9501,1695
1642433550203608061, 38, 114, 350,1695,9501,1695
1642433550205909108, 38, 114, 350,1695,9501,1695
1642433550208210672, 38, 114, 350,1695,9501,1695
1642433550210811393, 38, 114, 350,1695,9501,1695
1642433550213744888, 38, 115, 350,1695,9501,1695
1642433550217775034, 38, 115, 350,1695,9501,1695
1642433550223028185, 38, 115, 350,1695,9501,1695
1642433550226097874, 38, 115, 350,1695,9501,1695
1642433550228411223, 38, 115, 350,1695,9501,1695
1642433550230592391, 38, 115, 350,1695,9501,1695
1642433550232907221, 38, 115, 350,1695,9501,1695
