timestep, temperature_gpu, type, power_draw_w, power_limit_w, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
203, 37, shfl_nested, 111, 350,1695,9501,1695
204, 37, shfl_nested, 111, 350,1695,9501,1695
205, 37, shfl_nested, 111, 350,1695,9501,1695
206, 37, shfl_nested, 111, 350,1695,9501,1695
207, 37, shfl_nested, 111, 350,1695,9501,1695
208, 37, shfl_nested, 111, 350,1695,9501,1695
209, 37, shfl_nested, 111, 350,1695,9501,1695
210, 37, shfl_nested, 111, 350,1695,9501,1695
211, 37, shfl_nested, 111, 350,1695,9501,1695
212, 37, shfl_nested, 111, 350,1695,9501,1695
213, 37, shfl_nested, 111, 350,1695,9501,1695
214, 37, shfl_nested, 111, 350,1695,9501,1695
215, 37, shfl_nested, 111, 350,1695,9501,1695
216, 37, shfl_nested, 111, 350,1695,9501,1695
217, 37, shfl_nested, 111, 350,1695,9501,1695
218, 37, shfl_nested, 111, 350,1695,9501,1695
219, 37, shfl_nested, 111, 350,1695,9501,1695
220, 37, shfl_nested, 111, 350,1695,9501,1695
221, 37, shfl_nested, 111, 350,1695,9501,1695
222, 37, shfl_nested, 111, 350,1695,9501,1695
223, 37, shfl_nested, 111, 350,1695,9501,1695
224, 37, shfl_nested, 111, 350,1695,9501,1695
225, 37, shfl_nested, 111, 350,1695,9501,1695
226, 37, shfl_nested, 111, 350,1695,9501,1695
227, 37, shfl_nested, 111, 350,1695,9501,1695
228, 37, shfl_nested, 111, 350,1695,9501,1695
229, 37, shfl_nested, 111, 350,1695,9501,1695
230, 37, shfl_nested, 111, 350,1695,9501,1695
231, 37, shfl_nested, 111, 350,1695,9501,1695
232, 37, shfl_nested, 111, 350,1695,9501,1695
233, 37, shfl_nested, 111, 350,1695,9501,1695
234, 37, shfl_nested, 111, 350,1695,9501,1695
235, 37, shfl_nested, 111, 350,1695,9501,1695
236, 37, shfl_nested, 111, 350,1695,9501,1695
237, 37, shfl_nested, 111, 350,1695,9501,1695
238, 37, shfl_nested, 111, 350,1695,9501,1695
239, 37, shfl_nested, 111, 350,1695,9501,1695
240, 37, shfl_nested, 111, 350,1695,9501,1695
241, 37, shfl_nested, 111, 350,1695,9501,1695
242, 37, shfl_nested, 111, 350,1695,9501,1695
243, 37, shfl_nested, 111, 350,1695,9501,1695
244, 37, shfl_nested, 111, 350,1695,9501,1695
245, 37, shfl_nested, 111, 350,1695,9501,1695
246, 37, shfl_nested, 111, 350,1695,9501,1695
247, 37, shfl_nested, 111, 350,1695,9501,1695
248, 37, shfl_nested, 111, 350,1695,9501,1695
249, 37, shfl_nested, 111, 350,1695,9501,1695
250, 37, shfl_nested, 111, 350,1695,9501,1695
251, 37, shfl_nested, 111, 350,1695,9501,1695
252, 37, shfl_nested, 111, 350,1695,9501,1695
253, 37, shfl_nested, 111, 350,1695,9501,1695
254, 37, shfl_nested, 111, 350,1695,9501,1695
255, 37, shfl_nested, 111, 350,1695,9501,1695
256, 37, shfl_nested, 111, 350,1695,9501,1695
257, 37, shfl_nested, 111, 350,1695,9501,1695
258, 37, shfl_nested, 111, 350,1695,9501,1695
259, 37, shfl_nested, 111, 350,1695,9501,1695
260, 37, shfl_nested, 111, 350,1695,9501,1695
261, 37, shfl_nested, 111, 350,1695,9501,1695
262, 37, shfl_nested, 111, 350,1695,9501,1695
263, 37, shfl_nested, 111, 350,1695,9501,1695
264, 37, shfl_nested, 111, 350,1695,9501,1695
265, 37, shfl_nested, 112, 350,1695,9501,1695
266, 37, shfl_nested, 112, 350,1695,9501,1695
267, 37, shfl_nested, 112, 350,1695,9501,1695
268, 37, shfl_nested, 112, 350,1695,9501,1695
269, 37, shfl_nested, 112, 350,1695,9501,1695
270, 37, shfl_nested, 112, 350,1695,9501,1695
271, 37, shfl_nested, 112, 350,1695,9501,1695
272, 37, shfl_nested, 112, 350,1695,9501,1695
273, 37, shfl_nested, 112, 350,1695,9501,1695
274, 37, shfl_nested, 112, 350,1695,9501,1695
275, 37, shfl_nested, 112, 350,1695,9501,1695
276, 37, shfl_nested, 112, 350,1695,9501,1695
277, 37, shfl_nested, 112, 350,1695,9501,1695
278, 37, shfl_nested, 112, 350,1695,9501,1695
279, 37, shfl_nested, 112, 350,1695,9501,1695
280, 37, shfl_nested, 112, 350,1695,9501,1695
281, 37, shfl_nested, 112, 350,1695,9501,1695
282, 37, shfl_nested, 112, 350,1695,9501,1695
283, 37, shfl_nested, 112, 350,1695,9501,1695
284, 37, shfl_nested, 112, 350,1695,9501,1695
285, 37, shfl_nested, 112, 350,1695,9501,1695
286, 37, shfl_nested, 112, 350,1695,9501,1695
287, 37, shfl_nested, 112, 350,1695,9501,1695
288, 37, shfl_nested, 112, 350,1695,9501,1695
289, 37, shfl_nested, 112, 350,1695,9501,1695
290, 37, shfl_nested, 112, 350,1695,9501,1695
291, 37, shfl_nested, 112, 350,1695,9501,1695
292, 37, shfl_nested, 112, 350,1695,9501,1695
293, 37, shfl_nested, 112, 350,1695,9501,1695
294, 37, shfl_nested, 112, 350,1695,9501,1695
295, 37, shfl_nested, 112, 350,1695,9501,1695
296, 37, shfl_nested, 112, 350,1695,9501,1695
297, 37, shfl_nested, 112, 350,1695,9501,1695
298, 37, shfl_nested, 112, 350,1695,9501,1695
299, 37, shfl_nested, 112, 350,1695,9501,1695
300, 37, shfl_nested, 113, 350,1695,9501,1695
301, 37, shfl_nested, 113, 350,1695,9501,1695
302, 37, shfl_nested, 113, 350,1695,9501,1695
303, 37, shfl_nested, 113, 350,1695,9501,1695
304, 37, shfl_nested, 113, 350,1695,9501,1695
305, 37, shfl_nested, 113, 350,1695,9501,1695
306, 37, shfl_nested, 113, 350,1695,9501,1695
307, 37, shfl_nested, 113, 350,1695,9501,1695
308, 37, shfl_nested, 113, 350,1695,9501,1695
309, 37, shfl_nested, 113, 350,1695,9501,1695
310, 37, shfl_nested, 113, 350,1695,9501,1695
311, 37, shfl_nested, 113, 350,1695,9501,1695
312, 37, shfl_nested, 113, 350,1695,9501,1695
313, 37, shfl_nested, 113, 350,1695,9501,1695
314, 37, shfl_nested, 113, 350,1695,9501,1695
315, 37, shfl_nested, 113, 350,1695,9501,1695
316, 37, shfl_nested, 113, 350,1695,9501,1695
317, 37, shfl_nested, 113, 350,1695,9501,1695
318, 37, shfl_nested, 113, 350,1695,9501,1695
319, 37, shfl_nested, 113, 350,1695,9501,1695
320, 37, shfl_nested, 113, 350,1695,9501,1695
321, 37, shfl_nested, 113, 350,1695,9501,1695
322, 37, shfl_nested, 113, 350,1695,9501,1695
323, 37, shfl_nested, 113, 350,1695,9501,1695
324, 37, shfl_nested, 113, 350,1695,9501,1695
325, 37, shfl_nested, 113, 350,1695,9501,1695
326, 37, shfl_nested, 113, 350,1695,9501,1695
327, 37, shfl_nested, 113, 350,1695,9501,1695
328, 37, shfl_nested, 113, 350,1695,9501,1695
329, 37, shfl_nested, 113, 350,1695,9501,1695
330, 37, shfl_nested, 113, 350,1695,9501,1695
331, 37, shfl_nested, 113, 350,1695,9501,1695
332, 37, shfl_nested, 113, 350,1695,9501,1695
333, 37, shfl_nested, 113, 350,1695,9501,1695
334, 37, shfl_nested, 113, 350,1695,9501,1695
335, 37, shfl_nested, 113, 350,1695,9501,1695
336, 37, shfl_nested, 113, 350,1695,9501,1695
337, 37, shfl_nested, 113, 350,1695,9501,1695
338, 37, shfl_nested, 113, 350,1695,9501,1695
339, 37, shfl_nested, 113, 350,1695,9501,1695
340, 37, shfl_nested, 113, 350,1695,9501,1695
341, 37, shfl_nested, 113, 350,1695,9501,1695
342, 37, shfl_nested, 113, 350,1695,9501,1695
343, 37, shfl_nested, 113, 350,1695,9501,1695
344, 37, shfl_nested, 113, 350,1695,9501,1695
345, 37, shfl_nested, 113, 350,1695,9501,1695
