type,number_of_arrays,array_size,time
1,272,4,9.000000000000000228e-06
0,272,4,9.000000000000000228e-06
1,276,4,9.000000000000000228e-06
0,276,4,7.999999999999999638e-06
1,280,4,9.000000000000000228e-06
0,280,4,7.999999999999999638e-06
1,284,4,7.999999999999999638e-06
0,284,4,7.999999999999999638e-06
1,288,4,7.999999999999999638e-06
0,288,4,7.999999999999999638e-06
1,292,4,7.999999999999999638e-06
0,292,4,9.000000000000000228e-06
1,296,4,9.000000000000000228e-06
0,296,4,7.999999999999999638e-06
1,300,4,9.000000000000000228e-06
0,300,4,9.000000000000000228e-06
1,304,4,7.999999999999999638e-06
0,304,4,9.000000000000000228e-06
1,308,4,7.999999999999999638e-06
0,308,4,9.000000000000000228e-06
1,312,4,9.000000000000000228e-06
0,312,4,7.999999999999999638e-06
1,316,4,9.000000000000000228e-06
0,316,4,7.999999999999999638e-06
1,320,4,7.999999999999999638e-06
0,320,4,9.000000000000000228e-06
1,324,4,7.999999999999999638e-06
0,324,4,9.000000000000000228e-06
1,328,4,9.000000000000000228e-06
0,328,4,9.999999999999999124e-06
1,332,4,7.999999999999999638e-06
0,332,4,7.999999999999999638e-06
1,336,4,9.000000000000000228e-06
0,336,4,7.999999999999999638e-06
1,340,4,9.000000000000000228e-06
0,340,4,9.000000000000000228e-06
1,344,4,9.999999999999999124e-06
0,344,4,9.000000000000000228e-06
1,348,4,9.000000000000000228e-06
0,348,4,9.000000000000000228e-06
1,352,4,7.999999999999999638e-06
0,352,4,9.000000000000000228e-06
1,356,4,9.000000000000000228e-06
0,356,4,9.000000000000000228e-06
1,360,4,9.000000000000000228e-06
0,360,4,7.999999999999999638e-06
1,364,4,9.999999999999999124e-06
0,364,4,7.999999999999999638e-06
1,368,4,9.000000000000000228e-06
0,368,4,7.999999999999999638e-06
1,372,4,9.000000000000000228e-06
0,372,4,9.000000000000000228e-06
1,376,4,9.000000000000000228e-06
0,376,4,9.000000000000000228e-06
1,380,4,9.000000000000000228e-06
0,380,4,7.999999999999999638e-06
1,384,4,9.000000000000000228e-06
0,384,4,7.999999999999999638e-06
1,388,4,9.000000000000000228e-06
0,388,4,7.999999999999999638e-06
1,392,4,7.999999999999999638e-06
0,392,4,7.999999999999999638e-06
1,396,4,7.999999999999999638e-06
0,396,4,7.999999999999999638e-06
1,400,4,9.000000000000000228e-06
0,400,4,7.999999999999999638e-06
1,404,4,9.000000000000000228e-06
0,404,4,9.000000000000000228e-06
1,408,4,7.999999999999999638e-06
0,408,4,7.999999999999999638e-06
1,412,4,9.999999999999999124e-06
0,412,4,9.000000000000000228e-06
1,416,4,9.000000000000000228e-06
0,416,4,7.999999999999999638e-06
1,420,4,9.000000000000000228e-06
0,420,4,9.000000000000000228e-06
1,424,4,7.999999999999999638e-06
0,424,4,9.000000000000000228e-06
1,428,4,9.000000000000000228e-06
0,428,4,9.999999999999999124e-06
1,432,4,9.000000000000000228e-06
0,432,4,9.000000000000000228e-06
1,436,4,9.000000000000000228e-06
0,436,4,9.000000000000000228e-06
1,440,4,9.999999999999999124e-06
0,440,4,7.999999999999999638e-06
1,444,4,9.000000000000000228e-06
0,444,4,7.999999999999999638e-06
1,448,4,9.000000000000000228e-06
0,448,4,7.999999999999999638e-06
1,452,4,9.000000000000000228e-06
0,452,4,7.999999999999999638e-06
1,456,4,9.000000000000000228e-06
0,456,4,9.999999999999999124e-06
1,460,4,9.000000000000000228e-06
0,460,4,9.000000000000000228e-06
1,464,4,7.999999999999999638e-06
0,464,4,9.000000000000000228e-06
1,468,4,9.999999999999999124e-06
0,468,4,9.000000000000000228e-06
1,472,4,7.999999999999999638e-06
0,472,4,9.000000000000000228e-06
1,476,4,9.000000000000000228e-06
0,476,4,7.999999999999999638e-06
1,480,4,9.000000000000000228e-06
0,480,4,9.000000000000000228e-06
1,484,4,9.000000000000000228e-06
0,484,4,9.000000000000000228e-06
1,488,4,9.000000000000000228e-06
0,488,4,9.000000000000000228e-06
1,492,4,9.000000000000000228e-06
0,492,4,7.999999999999999638e-06
1,496,4,9.000000000000000228e-06
0,496,4,7.999999999999999638e-06
1,500,4,9.000000000000000228e-06
0,500,4,9.999999999999999124e-06
1,504,4,9.000000000000000228e-06
0,504,4,9.000000000000000228e-06
1,508,4,1.2000000000000000304e-05
0,508,4,1.2000000000000000304e-05
1,512,4,9.000000000000000228e-06
0,512,4,9.000000000000000228e-06
1,516,4,9.000000000000000228e-06
0,516,4,9.000000000000000228e-06
